sample_index,t_seconds,raw,voltage_v,current_a
642,0.028376,0,0.000000,-13.513514
643,0.028419,0,0.000000,-13.513514
644,0.028462,0,0.000000,-13.513514
645,0.028505,0,0.000000,-13.513514
646,0.028547,0,0.000000,-13.513514
647,0.028590,0,0.000000,-13.513514
648,0.028633,0,0.000000,-13.513514
649,0.028676,0,0.000000,-13.513514
650,0.028718,0,0.000000,-13.513514
651,0.028761,0,0.000000,-13.513514
652,0.028804,0,0.000000,-13.513514
653,0.028854,0,0.000000,-13.513514
654,0.028897,0,0.000000,-13.513514
655,0.028940,0,0.000000,-13.513514
656,0.028983,0,0.000000,-13.513514
657,0.029025,0,0.000000,-13.513514
658,0.029068,0,0.000000,-13.513514
659,0.029119,0,0.000000,-13.513514
660,0.029162,0,0.000000,-13.513514
661,0.029205,0,0.000000,-13.513514
662,0.029248,0,0.000000,-13.513514
663,0.029291,0,0.000000,-13.513514
664,0.029334,0,0.000000,-13.513514
665,0.029376,0,0.000000,-13.513514
666,0.029419,0,0.000000,-13.513514
667,0.029461,0,0.000000,-13.513514
668,0.029504,0,0.000000,-13.513514
669,0.029546,0,0.000000,-13.513514
670,0.029589,0,0.000000,-13.513514
671,0.029632,0,0.000000,-13.513514
672,0.029675,0,0.000000,-13.513514
673,0.029717,0,0.000000,-13.513514
674,0.029760,0,0.000000,-13.513514
675,0.029803,0,0.000000,-13.513514
676,0.029854,0,0.000000,-13.513514
677,0.029896,0,0.000000,-13.513514
678,0.029939,0,0.000000,-13.513514
679,0.029982,0,0.000000,-13.513514
680,0.030024,0,0.000000,-13.513514
681,0.030067,0,0.000000,-13.513514
682,0.030110,0,0.000000,-13.513514
683,0.030152,0,0.000000,-13.513514
684,0.030195,0,0.000000,-13.513514
685,0.030238,0,0.000000,-13.513514
686,0.030350,0,0.000000,-13.513514
687,0.030394,0,0.000000,-13.513514
688,0.030438,0,0.000000,-13.513514
689,0.030482,0,0.000000,-13.513514
690,0.030525,0,0.000000,-13.513514
691,0.030568,0,0.000000,-13.513514
692,0.030611,0,0.000000,-13.513514
693,0.030653,0,0.000000,-13.513514
694,0.030696,0,0.000000,-13.513514
